Source,Target,Type,Id,Label,Weight,edge-type
M1,4618,Undirected,1,,1,
M1,4528,Undirected,2,,1,
M1,4733,Undirected,3,,1,
M1,4742,Undirected,4,,1,
M1,4598.5,Undirected,5,,1,
M2,4741,Undirected,6,,1,
M3,5554,Undirected,11,,1,
M3,4583,Undirected,12,,1,
M4,4732,Undirected,13,,1,
M4,4731,Undirected,14,,1,
M4,4623,Undirected,15,,1,
M4,4660,Undirected,16,,1,
M4,4597,Undirected,17,,1,
M4,4595,Undirected,18,,1,
M4,4582,Undirected,19,,1,
M4,4675,Undirected,20,,1,
M4,1184,Undirected,21,,1,
M4,4758,Undirected,22,,1,
M4,4753,Undirected,23,,1,
M4,333,Undirected,24,,1,
M4,362,Undirected,25,,1,
M4,4592,Undirected,26,,1,
M4,4699,Undirected,27,,1,
M4,4569,Undirected,28,,1,
M4,4587,Undirected,29,,1,
M4,4588,Undirected,30,,1,
M4,4572,Undirected,31,,1,
M4,4577,Undirected,32,,1,
M4,4656,Undirected,33,,1,
M4,4560,Undirected,34,,1,
M4,4737,Undirected,35,,1,
M4,4663,Undirected,36,,1,
M4,4767,Undirected,37,,1,
M4,4762,Undirected,38,,1,
M4,4634,Undirected,39,,1,
M4,1507,Undirected,40,,1,
M4,4768,Undirected,41,,1,
M4,5554,Undirected,42,,1,
M4,74,Undirected,43,,1,
M4,82,Undirected,44,,1,
M4,85,Undirected,45,,1,
M4,84,Undirected,46,,1,
M4,83,Undirected,47,,1,
M4,2950,Undirected,48,,1,
M4,3721,Undirected,49,,1,
M4,6852,Undirected,50,,1,
M4,4614,Undirected,51,,1,
M4,6086,Undirected,52,,1,
M4,4773,Undirected,53,,1,
M4,4594,Undirected,54,,1,
M4,4532,Undirected,55,,1,
M4,4772,Undirected,56,,1,
M4,4652,Undirected,57,,1,
M4,4565,Undirected,58,,1,
M4,4530,Undirected,59,,1,
M4,4756,Undirected,60,,1,
M4,4771,Undirected,61,,1,
M4,4653,Undirected,62,,1,
M4,5339,Undirected,63,,1,
M4,4752,Undirected,64,,1,
M4,4647,Undirected,65,,1,
M4,4749,Undirected,66,,1,
M4,4745,Undirected,67,,1,
M4,4688,Undirected,68,,1,
M4,4707,Undirected,69,,1,
M4,4574,Undirected,70,,1,
M4,4620,Undirected,71,,1,
M4,4576,Undirected,72,,1,
M4,4659,Undirected,73,,1,
M4,4703,Undirected,74,,1,
M4,4742,Undirected,75,,1,
M5,4265,Undirected,76,,1,
M6,4543,Undirected,77,,1,
M7,4732,Undirected,78,,1,
M7,4731,Undirected,79,,1,
M7,4704,Undirected,80,,1,
M7,1301,Undirected,81,,1,
M7,3048,Undirected,82,,1,
M7,787,Undirected,83,,1,
M8,3721,Undirected,84,,1,
M8,6852,Undirected,85,,1,
M8,4614,Undirected,86,,1,
M8,6086,Undirected,87,,1,
M8,4773,Undirected,88,,1,
M8,4593,Undirected,89,,1,
M8,4532,Undirected,90,,1,
M8,238,Undirected,91,,1,
M8,4772,Undirected,92,,1,
M8,4651,Undirected,93,,1,
M8,4652,Undirected,94,,1,
M8,4571,Undirected,95,,1,
M8,4565,Undirected,96,,1,
M8,4530,Undirected,97,,1,
M8,4756,Undirected,98,,1,
M8,4771,Undirected,99,,1,
M8,4653,Undirected,100,,1,
M8,4728,Undirected,101,,1,
M8,4740,Undirected,102,,1,
M8,4573,Undirected,103,,1,
M8,4609,Undirected,104,,1,
M8,4662,Undirected,105,,1,
M8,4742,Undirected,106,,1,
M8,4590,Undirected,107,,1,
M8,4579,Undirected,108,,1,
M8,4549,Undirected,109,,1,
M8,4704,Undirected,110,,1,
M8,1301,Undirected,111,,1,
M8,3048,Undirected,112,,1,
M8,5334,Undirected,113,,1,
M8,4702,Undirected,114,,1,
M8,4536,Undirected,115,,1,
M8,4603,Undirected,116,,1,
M8,4697,Undirected,117,,1,
M8,3127,Undirected,118,,1,
M8,4746,Undirected,119,,1,
M8,4752,Undirected,120,,1,
M8,5339,Undirected,121,,1,
M8,133,Undirected,122,,1,
M8,4754,Undirected,123,,1,
M8,4567,Undirected,124,,1,
M8,4584,Undirected,125,,1,
M8,4535,Undirected,126,,1,
M8,4543,Undirected,127,,1,
M8,4545,Undirected,128,,1,
M8,5554,Undirected,129,,1,
M8,74,Undirected,130,,1,
M8,82,Undirected,131,,1,
M8,85,Undirected,132,,1,
M8,84,Undirected,133,,1,
M8,83,Undirected,134,,1,
M8,4534,Undirected,135,,1,
M8,4647,Undirected,136,,1,
M8,4749,Undirected,137,,1,
M8,4745,Undirected,138,,1,
M8,4763,Undirected,139,,1,
M8,4658,Undirected,140,,1,
M8,4688,Undirected,141,,1,
M8,4707,Undirected,142,,1,
M8,4574,Undirected,143,,1,
M8,4620,Undirected,144,,1,
M8,4576,Undirected,145,,1,
M8,3410,Undirected,146,,1,
M8,4741,Undirected,147,,1,
M8,4659,Undirected,148,,1,
M8,4703,Undirected,149,,1,
M8,4547,Undirected,150,,1,
M8,4605,Undirected,151,,1,
M8,5338,Undirected,152,,1,
M8,4719,Undirected,153,,1,
M8,4732,Undirected,154,,1,
M8,4731,Undirected,155,,1,
M8,5451,Undirected,156,,1,
M8,4623,Undirected,157,,1,
M8,4582,Undirected,158,,1,
M8,4675,Undirected,159,,1,
M8,1184,Undirected,160,,1,
M8,4758,Undirected,161,,1,
M8,4767,Undirected,162,,1,
M8,4537,Undirected,163,,1,
M8,4762,Undirected,164,,1,
M8,4634,Undirected,165,,1,
M8,1507,Undirected,166,,1,
M8,4611,Undirected,167,,1,
M8,2978,Undirected,168,,1,
M8,4373,Undirected,169,,1,
M8,4768,Undirected,170,,1,
M9,4699,Undirected,171,,1,
M9,4569,Undirected,172,,1,
M9,4587,Undirected,173,,1,
M9,4577,Undirected,174,,1,
M9,4572,Undirected,175,,1,
M9,4742,Undirected,176,,1,
M9,4590,Undirected,177,,1,
M9,4579,Undirected,178,,1,
M9,4560,Undirected,179,,1,
M9,4737,Undirected,180,,1,
M9,4663,Undirected,181,,1,
M9,4767,Undirected,182,,1,
M9,4762,Undirected,183,,1,
M9,3721,Undirected,184,,1,
M9,6852,Undirected,185,,1,
M9,4614,Undirected,186,,1,
M9,6086,Undirected,187,,1,
M9,4773,Undirected,188,,1,
M9,4594,Undirected,189,,1,
M9,4532,Undirected,190,,1,
M10,1301,Undirected,191,,1,
M10,3048,Undirected,192,,1,
M10,4704,Undirected,193,,1,
M10,787,Undirected,194,,1,
M10,5809,Undirected,195,,1,
M10,2978,Undirected,196,,1,
M10,4373,Undirected,197,,1,
M10,4702,Undirected,198,,1,
M10,4536,Undirected,199,,1,
M10,4603,Undirected,200,,1,
M10,4584,Undirected,201,,1,
M10,4535,Undirected,202,,1,
M10,4543,Undirected,203,,1,
M11,4540,Undirected,204,,1,
M11,4737,Undirected,205,,1,
M11,4663,Undirected,206,,1,
M11,4767,Undirected,207,,1,
M11,4762,Undirected,208,,1,
M11,4634,Undirected,209,,1,
M11,1507,Undirected,210,,1,
M11,4537,Undirected,211,,1,
M11,463,Undirected,212,,1,
M11,3721,Undirected,213,,1,
M11,6852,Undirected,214,,1,
M11,6086,Undirected,215,,1,
M11,4614,Undirected,216,,1,
M11,4773,Undirected,217,,1,
M11,4593,Undirected,218,,1,
M11,4532,Undirected,219,,1,
M11,4772,Undirected,220,,1,
M11,4651,Undirected,221,,1,
M11,4652,Undirected,222,,1,
M11,4571,Undirected,223,,1,
M11,4565,Undirected,224,,1,
M11,4530,Undirected,225,,1,
M11,4756,Undirected,226,,1,
M11,4771,Undirected,227,,1,
M11,4653,Undirected,228,,1,
M11,4728,Undirected,229,,1,
M11,4740,Undirected,230,,1,
M11,4573,Undirected,231,,1,
M11,4609,Undirected,232,,1,
M11,4662,Undirected,233,,1,
M11,4742,Undirected,234,,1,
M11,4590,Undirected,235,,1,
M11,4579,Undirected,236,,1,
M11,4549,Undirected,237,,1,
M11,1301,Undirected,238,,1,
M11,3048,Undirected,239,,1,
M11,4704,Undirected,240,,1,
M11,787,Undirected,241,,1,
M11,5809,Undirected,242,,1,
M11,5554,Undirected,243,,1,
M11,2978,Undirected,244,,1,
M11,4373,Undirected,245,,1,
M11,4702,Undirected,246,,1,
M11,4536,Undirected,247,,1,
M11,4603,Undirected,248,,1,
M11,4697,Undirected,249,,1,
M11,3127,Undirected,250,,1,
M11,4746,Undirected,251,,1,
M11,4752,Undirected,252,,1,
M11,5339,Undirected,253,,1,
M11,133,Undirected,254,,1,
M11,4754,Undirected,255,,1,
M11,4584,Undirected,257,,1,
M11,4535,Undirected,258,,1,
M11,4543,Undirected,259,,1,
M11,4545,Undirected,260,,1,
M11,74,Undirected,261,,1,
M11,82,Undirected,262,,1,
M11,85,Undirected,263,,1,
M11,84,Undirected,264,,1,
M11,83,Undirected,265,,1,
M11,2950,Undirected,266,,1,
M11,4534,Undirected,267,,1,
M11,4647,Undirected,268,,1,
M11,4749,Undirected,269,,1,
M11,4745,Undirected,270,,1,
M11,4763,Undirected,271,,1,
M11,4658,Undirected,272,,1,
M11,4688,Undirected,273,,1,
M11,4707,Undirected,274,,1,
M11,4178,Undirected,275,,1,
M11,4574,Undirected,276,,1,
M11,4620,Undirected,277,,1,
M11,4576,Undirected,278,,1,
M11,4816,Undirected,279,,1,
M11,3410,Undirected,280,,1,
M11,4741,Undirected,281,,1,
M11,4659,Undirected,282,,1,
M11,4615,Undirected,283,,1,
M11,4703,Undirected,284,,1,
M11,4547,Undirected,285,,1,
M11,4605,Undirected,286,,1,
M11,5338,Undirected,287,,1,
M11,4719,Undirected,288,,1,
M11,4732,Undirected,289,,1,
M11,4731,Undirected,290,,1,
M11,5451,Undirected,291,,1,
M11,4598,Undirected,292,,1,
M11,4623,Undirected,293,,1,
M11,4660,Undirected,294,,1,
M11,4597,Undirected,295,,1,
M11,4595,Undirected,296,,1,
M11,4582,Undirected,297,,1,
M11,4675,Undirected,298,,1,
M11,1184,Undirected,299,,1,
M11,4758,Undirected,300,,1,
M11,4753,Undirected,301,,1,
M11,333,Undirected,302,,1,
M11,362,Undirected,303,,1,
M11,4661,Undirected,304,,1,
M11,4592,Undirected,305,,1,
M11,4655,Undirected,306,,1,
M11,4699,Undirected,307,,1,
M11,4569,Undirected,308,,1,
M11,4587,Undirected,309,,1,
M11,4588,Undirected,310,,1,
M11,4572,Undirected,311,,1,
M11,4577,Undirected,312,,1,
M11,4656,Undirected,313,,1,
M11,4768,Undirected,314,,1,
M12,6345,Undirected,315,,1,
M12,6380,Undirected,316,,1,
M12,4633,Undirected,317,,1,
M12,4662,Undirected,318,,1,
M12,4373,Undirected,319,,1,
M12,5879,Undirected,320,,1,
M12,3048,Undirected,322,,1,
M12,5334,Undirected,323,,1,
M12,3127,Undirected,324,,1,
M13,787,Undirected,325,,1,
M13,6345,Undirected,326,,1,
M13,376,Undirected,327,,1,
M13,4196,Undirected,328,,1,
M13,83,Undirected,329,,1,
M13,3721,Undirected,330,,1,
M13,6852,Undirected,331,,1,
M13,4614,Undirected,332,,1,
M13,6086,Undirected,333,,1,
M13,4773,Undirected,334,,1,
M13,4593,Undirected,335,,1,
M13,4532,Undirected,336,,1,
M13,4772,Undirected,337,,1,
M13,4651,Undirected,338,,1,
M13,4652,Undirected,339,,1,
M13,4571,Undirected,340,,1,
M13,957,Undirected,341,,1,
M13,4565,Undirected,342,,1,
M13,4530,Undirected,343,,1,
M13,4756,Undirected,344,,1,
M13,4771,Undirected,345,,1,
M13,4653,Undirected,346,,1,
M13,4728,Undirected,347,,1,
M13,4740,Undirected,348,,1,
M13,4573,Undirected,349,,1,
M13,4609,Undirected,350,,1,
M13,4662,Undirected,351,,2,
M13,4579,Undirected,352,,1,
M13,4549,Undirected,353,,1,
M13,4704,Undirected,354,,1,
M13,1301,Undirected,355,,1,
M13,3048,Undirected,356,,1,
M13,5334,Undirected,357,,1,
M13,4702,Undirected,358,,1,
M13,4536,Undirected,359,,1,
M13,4603,Undirected,360,,1,
M13,4697,Undirected,361,,1,
M13,3127,Undirected,362,,1,
M13,4746,Undirected,363,,1,
M13,4752,Undirected,364,,1,
M13,4584,Undirected,365,,1,
M13,4535,Undirected,366,,1,
M13,5554,Undirected,367,,1,
M13,4566,Undirected,368,,1,
M13,4658,Undirected,369,,1,
M13,4576,Undirected,370,,1,
M13,4816,Undirected,371,,1,
M13,4605,Undirected,372,,1,
M13,3410,Undirected,373,,1,
M13,4732,Undirected,374,,1,
M13,4731,Undirected,375,,1,
M13,5451,Undirected,376,,1,
M13,4595,Undirected,377,,1,
M13,4582,Undirected,378,,1,
M13,4675,Undirected,379,,1,
M13,5339,Undirected,380,,1,
M13,133,Undirected,381,,1,
M13,5338,Undirected,382,,1,
M13,4543,Undirected,383,,2,
M13,4754,Undirected,384,,1,
M13,4703,Undirected,385,,1,
M13,4547,Undirected,386,,1,
M13,4634,Undirected,387,,1,
M13,4647,Undirected,388,,1,
M13,4749,Undirected,389,,1,
M13,4745,Undirected,390,,1,
M13,4737,Undirected,391,,1,
M13,4540,Undirected,392,,1,
M13,4545,Undirected,395,,1,
M13,4534,Undirected,396,,1,
M13,4688,Undirected,397,,1,
M13,4928,Undirected,398,,1,
M13,4620,Undirected,399,,1,
M13,4528,Undirected,400,,2,
M13,4583,Undirected,401,,1,
M13,4659,Undirected,402,,1,
M13,4615,Undirected,403,,1,
M13,4719,Undirected,404,,1,
M13,4623,Undirected,405,,1,
M13,4660,Undirected,406,,1,
M13,4597,Undirected,407,,1,
M13,4592,Undirected,408,,1,
M13,4587,Undirected,409,,1,
M13,4569,Undirected,410,,1,
M13,4588,Undirected,411,,1,
M13,4574,Undirected,412,,1,
M13,4572,Undirected,413,,1,
M13,4656,Undirected,414,,1,
M13,4663,Undirected,415,,1,
M13,4767,Undirected,416,,1,
M13,4762,Undirected,417,,1,
M13,6380,Undirected,418,,1,
M13,6853,Undirected,419,,1,
M13,5278,Undirected,420,,1,
M13,1507,Undirected,421,,1,
M13,4768,Undirected,422,,1,
M13,4567,Undirected,423,,1,
M13,4742,Undirected,424,,1,
M13,4590,Undirected,425,,1,
M13,82,Undirected,426,,1,
M13,4763,Undirected,427,,1,
M13,4661,Undirected,429,,1,
M13,4699,Undirected,430,,1,
M13,4577,Undirected,431,,1,
M13,85,Undirected,432,,1,
M13,84,Undirected,433,,1,
M13,4598,Undirected,434,,1,
M13,4598.5,Undirected,435,,1,
M13,1184,Undirected,436,,1,
M13,4758,Undirected,437,,1,
M13,4753,Undirected,438,,1,
M13,4527,Undirected,439,,1,
M13,333,Undirected,440,,1,
M13,362,Undirected,441,,1,
M13,4561,Undirected,442,,1,
M13,115,Undirected,443,,1,
M13,4764,Undirected,444,,1,
M13,4633,Undirected,445,,1,
M13,2978,Undirected,446,,1,
M13,4373,Undirected,447,,1,
M14,6380,Undirected,448,,1,
M14,376,Undirected,449,,1,
M15,5451,Undirected,450,,1,
M16,4609,Undirected,451,,1,
M17,5339,Undirected,452,,1,
M17,5554,Undirected,453,,1,
M18,4567,Undirected,454,,1,
M18,4584,Undirected,455,,1,
M19,3721,Undirected,456,,1,
M19,6852,Undirected,457,,1,
M19,6086,Undirected,458,,1,
M19,4614,Undirected,459,,1,
M19,4773,Undirected,460,,1,
M19,4593,Undirected,461,,1,
M19,4532,Undirected,462,,1,
M19,4772,Undirected,463,,1,
M19,4651,Undirected,464,,1,
M19,4652,Undirected,465,,1,
M19,4571,Undirected,466,,1,
M19,4565,Undirected,467,,1,
M19,4530,Undirected,468,,1,
M19,4756,Undirected,469,,1,
M19,4771,Undirected,470,,1,
M19,4653,Undirected,471,,1,
M19,4728,Undirected,472,,1,
M19,4740,Undirected,473,,1,
M19,4573,Undirected,474,,1,
M19,4609,Undirected,475,,1,
M19,4662,Undirected,476,,1,
M19,4742,Undirected,477,,1,
M19,4590,Undirected,478,,1,
M19,4579,Undirected,479,,1,
M19,4549,Undirected,480,,1,
M19,4704,Undirected,481,,1,
M19,1301,Undirected,482,,1,
M19,3048,Undirected,483,,1,
M19,5334,Undirected,484,,1,
M19,4702,Undirected,485,,1,
M19,4536,Undirected,486,,1,
M19,4603,Undirected,487,,1,
M19,4697,Undirected,488,,1,
M19,3127,Undirected,489,,1,
M19,4746,Undirected,490,,1,
M19,4752,Undirected,491,,1,
M19,5339,Undirected,492,,1,
M19,133,Undirected,493,,1,
M19,4754,Undirected,494,,1,
M19,4567,Undirected,495,,1,
M19,4584,Undirected,496,,1,
M19,4535,Undirected,497,,1,
M19,4545,Undirected,498,,1,
M19,5554,Undirected,499,,1,
M19,82,Undirected,500,,1,
M19,85,Undirected,501,,1,
M19,84,Undirected,502,,1,
M19,83,Undirected,503,,1,
M19,2950,Undirected,504,,1,
M19,4534,Undirected,505,,1,
M19,4647,Undirected,506,,1,
M19,4749,Undirected,507,,1,
M19,4745,Undirected,508,,1,
M19,4763,Undirected,509,,1,
M19,4658,Undirected,510,,1,
M19,4688,Undirected,511,,1,
M19,4707,Undirected,512,,1,
M19,4574,Undirected,513,,1,
M19,4620,Undirected,514,,1,
M19,4576,Undirected,515,,1,
M19,3410,Undirected,516,,1,
M19,4741,Undirected,517,,1,
M19,4659,Undirected,518,,1,
M19,4703,Undirected,519,,1,
M19,4547,Undirected,520,,1,
M19,4605,Undirected,521,,1,
M19,5338,Undirected,522,,1,
M19,4719,Undirected,523,,1,
M19,4732,Undirected,524,,1,
M19,4731,Undirected,525,,1,
M19,5451,Undirected,526,,1,
M20,4740,Undirected,527,,1,
M20,4528,Undirected,528,,1,
M20,4586,Undirected,529,,1,
M20,4592,Undirected,530,,1,
M20,6380,Undirected,531,,1,
M21,4634,Undirected,532,,1,
M21,1507,Undirected,533,,1,
M22,5451,Undirected,534,,1,
M23,5451,Undirected,535,,1,
M24,5451,Undirected,536,,1,
M25,4593,Undirected,537,,1,
M25,4773,Undirected,538,,1,
M26,4623,Undirected,539,,1,
M26,4592,Undirected,540,,1,
M27,4634,Undirected,541,,1,
M27,1507,Undirected,542,,1,
M27,4768,Undirected,543,,1,
M27,5554,Undirected,544,,1,
M27,74,Undirected,545,,1,
M27,82,Undirected,546,,1,
M27,85,Undirected,547,,1,
M27,84,Undirected,548,,1,
M27,83,Undirected,549,,1,
M27,2950,Undirected,550,,1,
M27,4572,Undirected,551,,1,
M28,3721,Undirected,552,,1,
M28,6852,Undirected,553,,1,
M28,6086,Undirected,554,,1,
M28,4614,Undirected,555,,1,
M28,4773,Undirected,556,,1,
M28,4593,Undirected,557,,1,
M28,4532,Undirected,558,,1,
M28,4772,Undirected,559,,1,
M28,4651,Undirected,560,,1,
M28,4652,Undirected,561,,1,
M28,4571,Undirected,562,,1,
M28,4565,Undirected,563,,1,
M28,4530,Undirected,564,,1,
M28,4756,Undirected,565,,1,
M28,4771,Undirected,566,,1,
M28,4653,Undirected,567,,1,
M28,4728,Undirected,568,,1,
M28,4740,Undirected,569,,1,
M28,4573,Undirected,570,,1,
M28,4609,Undirected,571,,1,
M28,4742,Undirected,572,,1,
M28,4590,Undirected,573,,1,
M28,4579,Undirected,574,,1,
M28,4549,Undirected,575,,1,
M28,4704,Undirected,576,,1,
M28,1301,Undirected,577,,1,
M28,3048,Undirected,578,,1,
M28,5334,Undirected,579,,1,
M28,4702,Undirected,580,,1,
M28,4536,Undirected,581,,1,
M28,4603,Undirected,582,,1,
M28,4697,Undirected,583,,1,
M28,3127,Undirected,584,,1,
M28,4746,Undirected,585,,1,
M28,4752,Undirected,586,,1,
M28,5339,Undirected,587,,1,
M28,133,Undirected,588,,1,
M28,5338,Undirected,589,,1,
M28,4754,Undirected,590,,1,
M28,4567,Undirected,591,,1,
M28,4584,Undirected,592,,1,
M28,4535,Undirected,593,,1,
M28,4543,Undirected,594,,1,
M28,4545,Undirected,595,,1,
M28,4647,Undirected,596,,1,
M28,4749,Undirected,597,,1,
M28,4745,Undirected,598,,1,
M28,4688,Undirected,599,,1,
M28,4707,Undirected,600,,1,
M28,4574,Undirected,601,,1,
M28,4620,Undirected,602,,1,
M28,4576,Undirected,603,,1,
M28,4816,Undirected,604,,1,
M28,4659,Undirected,605,,1,
M28,4615,Undirected,606,,1,
M28,4703,Undirected,607,,1,
M28,4547,Undirected,608,,1,
M28,4605,Undirected,609,,1,
M28,4719,Undirected,610,,1,
M28,4655,Undirected,611,,1,
M28,4623,Undirected,612,,1,
M28,4660,Undirected,613,,1,
M28,4597,Undirected,614,,1,
M28,4595,Undirected,615,,1,
M28,4582,Undirected,616,,1,
M28,4731,Undirected,617,,1,
M28,4675,Undirected,618,,1,
M28,1184,Undirected,619,,1,
M28,4758,Undirected,620,,1,
M28,4753,Undirected,621,,1,
M28,4527,Undirected,622,,2,
M28,333,Undirected,623,,1,
M28,362,Undirected,624,,1,
M28,4661,Undirected,625,,1,
M28,4592,Undirected,626,,1,
M28,4699,Undirected,627,,1,
M28,4569,Undirected,628,,1,
M28,4587,Undirected,629,,1,
M28,4588,Undirected,630,,1,
M28,4572,Undirected,631,,1,
M28,4577,Undirected,632,,1,
M28,4656,Undirected,633,,1,
M28,4618,Undirected,634,,1,
M28,4540,Undirected,635,,1,
M28,4561,Undirected,636,,1,
M28,4737,Undirected,637,,1,
M28,4663,Undirected,638,,1,
M28,4767,Undirected,639,,1,
M28,4537,Undirected,640,,1,
M28,4762,Undirected,641,,1,
M28,4634,Undirected,642,,1,
M28,1507,Undirected,643,,1,
M28,4768,Undirected,644,,1,
M28,4586,Undirected,645,,1,
M28,4764,Undirected,646,,1,
M28,4617,Undirected,648,,1,
M28,4598,Undirected,649,,1,
M28,5451,Undirected,650,,1,
M28,4589,Undirected,651,,1,
M28,4611,Undirected,652,,1,
M28,74,Undirected,653,,1,
M28,82,Undirected,654,,1,
M28,85,Undirected,655,,1,
M28,84,Undirected,656,,1,
M28,5554,Undirected,657,,1,
M29,4816,Undirected,658,,1,
M29,4652,Undirected,659,,1,
M30,787,Undirected,660,,1,
M31,6345,Undirected,661,,1,
M32,6345,Undirected,662,,1,
M32,376,Undirected,663,,1,
M32,4196,Undirected,664,,1,
M32,4178,Undirected,665,,1,
M32,938,Undirected,666,,1,
M32,3721,Undirected,668,,1,
M32,4540,Undirected,669,,1,
M32,4737,Undirected,670,,1,
M32,4663,Undirected,671,,1,
M32,4767,Undirected,672,,1,
M32,4762,Undirected,673,,1,
M32,1507,Undirected,675,,1,
M32,6852,Undirected,676,,1,
M32,6086,Undirected,677,,1,
M32,4614,Undirected,678,,1,
M32,4773,Undirected,679,,1,
M32,4593,Undirected,680,,1,
M32,4532,Undirected,681,,1,
M32,4772,Undirected,682,,1,
M32,4651,Undirected,683,,1,
M32,4652,Undirected,684,,1,
M32,4571,Undirected,685,,1,
M32,4565,Undirected,686,,1,
M32,4530,Undirected,687,,1,
M32,4756,Undirected,688,,1,
M32,4771,Undirected,689,,1,
M32,4653,Undirected,690,,1,
M32,4728,Undirected,691,,1,
M32,4740,Undirected,692,,1,
M32,4609,Undirected,693,,1,
M32,4662,Undirected,694,,1,
M32,4742,Undirected,695,,1,
M32,4579,Undirected,696,,1,
M32,4549,Undirected,697,,1,
M32,4704,Undirected,698,,1,
M32,3048,Undirected,700,,1,
M32,5334,Undirected,701,,1,
M32,4702,Undirected,702,,1,
M32,4536,Undirected,703,,1,
M32,4603,Undirected,704,,1,
M32,4697,Undirected,705,,1,
M32,3127,Undirected,706,,1,
M32,4746,Undirected,707,,1,
M32,4752,Undirected,708,,1,
M32,5339,Undirected,709,,1,
M32,133,Undirected,710,,1,
M32,5338,Undirected,711,,1,
M32,4754,Undirected,712,,1,
M32,4584,Undirected,713,,1,
M32,4527,Undirected,714,,1,
M32,4535,Undirected,715,,1,
M32,4543,Undirected,716,,1,
M32,4750,Undirected,717,,1,
M32,4545,Undirected,718,,1,
M32,4585,Undirected,719,,1,
M32,4566,Undirected,720,,1,
M32,4534,Undirected,721,,1,
M32,4647,Undirected,723,,1,
M32,4749,Undirected,724,,1,
M32,4745,Undirected,725,,1,
M32,4763,Undirected,726,,1,
M32,4733,Undirected,727,,1,
M32,4658,Undirected,728,,1,
M32,4688,Undirected,729,,1,
M32,4707,Undirected,730,,1,
M32,4574,Undirected,731,,1,
M32,4620,Undirected,732,,1,
M32,4576,Undirected,733,,1,
M32,4816,Undirected,734,,1,
M32,3410,Undirected,735,,1,
M32,4655,Undirected,736,,1,
M32,4583,Undirected,737,,1,
M32,4741,Undirected,738,,1,
M32,4659,Undirected,739,,1,
M32,4615,Undirected,740,,1,
M32,4703,Undirected,741,,1,
M32,4547,Undirected,742,,1,
M32,4605,Undirected,743,,1,
M32,4586,Undirected,744,,1,
M32,4719,Undirected,745,,1,
M32,4732,Undirected,746,,1,
M32,4731,Undirected,747,,1,
M32,5451,Undirected,748,,1,
M32,4623,Undirected,749,,1,
M32,4660,Undirected,750,,1,
M32,4597,Undirected,751,,1,
M33,6852,Undirected,752,,1,
M33,6086,Undirected,753,,1,
M33,4614,Undirected,754,,1,
M33,4773,Undirected,755,,1,
M33,4593,Undirected,756,,1,
M33,4532,Undirected,757,,1,
M33,4772,Undirected,758,,1,
M33,4651,Undirected,759,,1,
M33,4652,Undirected,760,,1,
M33,4571,Undirected,761,,1,
M33,4565,Undirected,762,,1,
M33,4530,Undirected,763,,1,
M33,4756,Undirected,764,,1,
M33,4771,Undirected,765,,1,
M33,4653,Undirected,766,,1,
M33,4728,Undirected,767,,1,
M33,4740,Undirected,768,,1,
M33,4609,Undirected,769,,1,
M33,4742,Undirected,770,,1,
M33,4590,Undirected,771,,1,
M33,4579,Undirected,772,,1,
M33,4549,Undirected,773,,1,
M33,4704,Undirected,774,,1,
M33,4702,Undirected,775,,1,
M33,4536,Undirected,776,,1,
M33,4603,Undirected,777,,1,
M33,4697,Undirected,778,,1,
M33,4752,Undirected,779,,1,
M33,5339,Undirected,780,,2,
M33,133,Undirected,781,,1,
M33,5338,Undirected,782,,1,
M33,4584,Undirected,783,,1,
M33,4535,Undirected,784,,1,
M33,4543,Undirected,785,,1,
M33,4545,Undirected,786,,1,
M33,4534,Undirected,787,,1,
M33,4647,Undirected,788,,1,
M33,4749,Undirected,789,,1,
M33,4745,Undirected,790,,1,
M33,4688,Undirected,791,,1,
M33,4707,Undirected,792,,1,
M33,5451,Undirected,793,,1,
M33,4675,Undirected,794,,1,
M33,4758,Undirected,795,,1,
M33,4765,Undirected,796,,1,
M33,333,Undirected,798,,1,
M33,362,Undirected,799,,1,
M33,4592,Undirected,800,,1,
M33,4661,Undirected,801,,1,
M33,4699,Undirected,802,,1,
M33,4569,Undirected,803,,1,
M33,4587,Undirected,804,,1,
M33,4588,Undirected,805,,1,
M33,4572,Undirected,806,,1,
M33,4577,Undirected,807,,1,
M33,4656,Undirected,808,,1,
M33,4618,Undirected,809,,1,
M33,4540,Undirected,810,,1,
M33,4737,Undirected,811,,1,
